Run,Spots,LibraryName,Platform,BioSample,SampleName,Date,Depth,Location,Oxygen,Organic_matter,Temperature,Water_redox,Sediment_redox,Porosity
SRR1346082,29397,VAG_001_Bv6v4,LS454,SAMN02839372,VAG_001,2011-12-14,50,Concepcion,1.09,14,13.4,18,-85,87
SRR1346083,40208,VAG_002_Bv6v4,LS454,SAMN02839373,VAG_002,2011-12-15,90,Concepcion,0.39,8,13.8,10,-120,72
SRR1346084,10887,VAG_003_Bv6v4,LS454,SAMN02839374,VAG_003,2012-01-09,50,Valparaiso,0.83,11,13.5,80,-100,81
SRR1346085,13557,VAG_004_Bv6v4,LS454,SAMN02839375,VAG_004,2012-01-10,80,Valparaiso,0.97,12,14.2,34,-100,81
SRR1346086,34193,VAG_005_Bv6v4,LS454,SAMN02839376,VAG_005,2012-01-13,50,Iquique,0.63,12,14.5,-120,-280,75
SRR1346087,32586,VAG_006_Bv6v4,LS454,SAMN02839377,VAG_006,2012-01-14,100,Iquique,0.4,21,14.1,-135,-290,84
SRR1346088,13847,VAG_007_Bv6v4,LS454,SAMN02839378,VAG_007,2012-01-19,100,Antofagasta,0.16,26,16,-77,-270,94
SRR1346089,16638,VAG_009_Bv6v4,LS454,SAMN02839379,VAG_009,2012-05-14,97,Iquique,0.96,20,13,-8,-160,90
SRR1346090,17963,VAG_010_Bv6v4,LS454,SAMN02839380,VAG_010,2012-05-14,72,Iquique,0.81,15,14,-110,-300,87
SRR1346091,19135,VAG_011_Bv6v4,LS454,SAMN02839381,VAG_011,2012-05-17,105,Caldera,0.54,16,13,-65,-270,82
SRR1346092,18719,VAG_012_Bv6v4,LS454,SAMN02839382,VAG_012,2012-09-29,90,Concepcion,0.8,19,10,37,-78,86
SRR1346093,16122,VAG_013_Bv6v4,LS454,SAMN02839383,VAG_013,2012-09-29,50,Concepcion,1.8,17,9,8,-96,66
SRR1346094,19837,VAG_014_Bv6v4,LS454,SAMN02839384,VAG_014,2012-05-12,100,Valparaiso,1.2,12.7,10,165,-118.4,80
SRR1346095,15701,VAG_015_Bv6v4,LS454,SAMN02839385,VAG_015,2012-05-12,50,Valparaiso,1,11.7,9.5,150,-125.2,80.4
